법정동,welfare_count,store_count,subway_count,bus_count,hospital_count,점수
가락동,0.130434783,0.270408163,0.625,0.229323308,0.352331606,1.60749786
가리봉동,0.02173913,0.06122449,0,0.026315789,0.020725389,0.130004798
가산동,0.043478261,0.048469388,0.375,0.394736842,0.031088083,0.892772574
가양동,0.043478261,0.028061224,0.375,0.15037594,0.010362694,0.60727812
가회동,0,0.005102041,0,0.030075188,0.005181347,0.040358576
갈월동,0.02173913,0.00255102,0.25,0.033834586,0.015544041,0.323668779
갈현동,0.108695652,0.178571429,0.25,0.27443609,0.124352332,0.936055503
강일동,0.065217391,0.010204082,0,0.184210526,0,0.259631999
개봉동,0.108695652,0.130102041,0,0.330827068,0.124352332,0.693977092
개포동,0.152173913,0.071428571,0.375,0.293233083,0.020725389,0.912560956
개화동,0.02173913,0.010204082,0.125,0.033834586,0,0.190777799
거여동,0.065217391,0.048469388,0.125,0.097744361,0.124352332,0.460783472
견지동,0,0,0,0.018796992,0,0.018796992
경운동,0.043478261,0,0,0.018796992,0.005181347,0.067456601
계동,0,0.015306122,0,0.022556391,0,0.037862513
고덕동,0.065217391,0.089285714,0.125,0.15037594,0.015544041,0.445423087
고척동,0.217391304,0.089285714,0,0.259398496,0.077720207,0.643795722
공덕동,0.130434783,0.028061224,0.25,0.078947368,0,0.487443376
공릉동,0.304347826,0.163265306,0.5,0.402255639,0.03626943,1.406138201
공평동,0,0,0,0.007518797,0,0.007518797
공항동,0.02173913,0.06122449,0.25,0.157894737,0,0.490858357
과해동,0,0,0,0.007518797,0.010362694,0.017881491
관수동,0,0.00255102,0,0.003759398,0.005181347,0.011491766
관철동,0,0.005102041,0,0.018796992,0.005181347,0.02908038
관훈동,0,0.00255102,0,0.003759398,0,0.006310419
광장동,0.043478261,0.058673469,0.125,0.135338346,0,0.362490076
광희동1가,0,0.005102041,0,0,0,0.005102041
광희동2가,0,0.00255102,0,0.015037594,0.020725389,0.038314003
교남동,0.02173913,0,0,0.015037594,0,0.036776724
교북동,0,0,0,0.022556391,0,0.022556391
구기동,0.043478261,0.015306122,0,0.067669173,0,0.126453556
구로동,0.260869565,0.31377551,0.375,0.537593985,0.305699482,1.792938542
구산동,0.152173913,0.025510204,0.125,0.127819549,0.077720207,0.508223873
구수동,0,0.005102041,0,0.018796992,0.005181347,0.02908038
구의동,0.282608696,0.204081633,0.125,0.214285714,0.020725389,0.846701431
군자동,0.086956522,0.076530612,0,0.086466165,0.010362694,0.260315994
궁동,0.02173913,0.015306122,0,0.120300752,0.005181347,0.162527352
궁정동,0,0,0,0.003759398,0,0.003759398
권농동,0,0,0,0.003759398,0,0.003759398
금호동1가,0.02173913,0.020408163,0,0.139097744,0.041450777,0.222695815
금호동2가,0.043478261,0.015306122,0,0.078947368,0.03626943,0.174001182
금호동3가,0,0.040816327,0,0.086466165,0.067357513,0.194640005
금호동4가,0.065217391,0.010204082,0,0.090225564,0.093264249,0.258911286
길동,0.239130435,0.112244898,0.125,0.139097744,0.051813472,0.667286549
길음동,0.043478261,0.142857143,0.125,0.146616541,0.005181347,0.463133292
낙원동,0,0.030612245,0,0.003759398,0.010362694,0.044734338
남가좌동,0.043478261,0.089285714,0.125,0.15037594,0.005181347,0.413321262
남대문로1가,0,0,0,0.007518797,0.005181347,0.012700144
남대문로2가,0,0.005102041,0,0.018796992,0.015544041,0.039443075
남대문로3가,0,0,0,0.011278195,0.010362694,0.02164089
남대문로4가,0,0,0,0.007518797,0.025906736,0.033425533
남대문로5가,0,0.007653061,0,0.033834586,0.067357513,0.108845161
남산동1가,0,0,0,0.003759398,0.03626943,0.040028829
남산동2가,0,0.00255102,0,0.003759398,0,0.006310419
남산동3가,0,0,0,0,0.005181347,0.005181347
남영동,0,0.005102041,0,0.011278195,0,0.016380236
남창동,0,0.132653061,0.125,0.015037594,0.07253886,0.345229515
남학동,0,0,0,0,0,0
남현동,0.02173913,0.015306122,0,0.026315789,0.005181347,0.06854239
내곡동,0,0.017857143,0,0.101503759,0.005181347,0.124542249
내발산동,0.152173913,0.109693878,0,0.176691729,0.051813472,0.490372991
내수동,0,0.005102041,0,0,0.005181347,0.010283388
내자동,0,0.005102041,0,0.007518797,0.005181347,0.017802185
냉천동,0,0.005102041,0,0.030075188,0,0.035177229
노고산동,0.065217391,0.040816327,0.25,0.056390977,0.020725389,0.433150084
노량진동,0.086956522,0.12244898,0.125,0.146616541,0.010362694,0.491384737
녹번동,0.195652174,0.030612245,0,0.086466165,0.067357513,0.380088097
논현동,0.108695652,0.196428571,0.375,0.165413534,0.18134715,1.026884908
누상동,0,0,0,0.003759398,0,0.003759398
누하동,0,0.005102041,0,0.011278195,0,0.016380236
능동,0,0.040816327,0.375,0.030075188,0.010362694,0.456254209
다동,0,0.00255102,0,0,0.020725389,0.023276409
답십리동,0.347826087,0.091836735,0,0.154135338,0.03626943,0.63006759
당산동,0,0.005102041,0.5,0.045112782,0,0.550214823
당산동1가,0,0.204081633,0,0.015037594,0.031088083,0.25020731
당산동2가,0,0.005102041,0,0.030075188,0.015544041,0.05072127
