no,name,x_coor,y_coor,addr,구,동
1001,종로2가사거리,126.9877862,37.56976415,서울 종로구 종로2가 84-11,종로구,종로2가
1002,창경궁.서울대학교병원,126.9965202,37.57917886,서울 종로구 와룡동 2-87,종로구,와룡동
1003,명륜3가.성대입구,126.9982902,37.58270882,서울 종로구 명륜4가 193-2,종로구,명륜4가
1004,종로2가.삼일교,126.9875072,37.56858223,서울 종로구 관철동 268,종로구,관철동
1005,혜화동로터리.여운형활동터,127.0016943,37.58622998,서울 종로구 혜화동 56,종로구,혜화동
1006,서대문역사거리,126.9669608,37.56620752,서울 종로구 평동 210,종로구,평동
1007,서울역사박물관.경희궁앞,126.9704199,37.56909809,서울 종로구 신문로2가 1-33,종로구,신문로2가
1008,서울역사박물관.경희궁앞,126.970442,37.56933602,서울 종로구 신문로2가 1-33,종로구,신문로2가
1009,광화문,126.9752406,37.57005075,서울 종로구 신문로1가 5-4,종로구,신문로1가
1010,광화문,126.9780909,37.57029571,서울 종로구 종로1가 1-3,종로구,종로1가
1011,종로1가,126.981,37.570072,서울 종로구 종로1가 54,종로구,종로1가
1012,종로1가,126.9813906,37.57026661,서울 종로구 종로1가 54,종로구,종로1가
1013,종로2가,126.9855411,37.57008725,서울 종로구 종로2가 84-11,종로구,종로2가
1014,종로2가,126.986254,37.57026795,서울 종로구 종로2가 1-2,종로구,종로2가
1015,종로3가.탑골공원,126.989569,37.57018754,서울 종로구 종로3가 137-3,종로구,종로3가
1016,종로3가.탑골공원,126.9899683,37.57038869,서울 종로구 종로3가 10-5,종로구,종로3가
1017,종로4가.종묘,126.9947287,37.57041688,서울 종로구 종로3가 45-4,종로구,종로3가
1018,종로4가.종묘,126.995277,37.57060029,서울 종로구 종로4가 32-8,종로구,종로4가
1019,종로5가.광장시장,126.9988533,37.57071571,서울 종로구 종로4가 135-2,종로구,종로4가
1020,종로5가.광장시장,126.9993199,37.57090764,서울 종로구 종로4가 183,종로구,종로4가
1021,종로6가.동대문종합시장,127.0034688,37.57091778,서울 종로구 종로5가 194-1,종로구,종로5가
1022,종로6가.동대문종합시장,127.0057094,37.57115181,서울 종로구 종로5가 11-2,종로구,종로5가
1023,동대문역.흥인지문,127.0134621,37.57228008,서울 종로구 창신동 358-1,종로구,창신동
1037,동대문(흥인지문),127.0124928,37.57216719,서울 종로구 창신동 204-14,종로구,창신동
1041,동묘앞,127.017533,37.573432,서울 종로구 숭인동 81-39,종로구,숭인동
1044,동묘앞,127.019639,37.57430372,서울 종로구 숭인동 172-1,종로구,숭인동
1101,경기상고,126.9694326,37.5875739,서울 종로구 청운동 37,종로구,청운동
1102,신교동,126.970341,37.58330295,서울 종로구 효자동 8,종로구,효자동
1103,경기상고,126.9696701,37.58717108,서울 종로구 청운동 64,종로구,청운동
1104,경복고교,126.9710437,37.58511248,서울 종로구 청운동 100-6,종로구,청운동
1105,청운중학교,126.9725944,37.58790085,서울 종로구 청운동 89-8,종로구,청운동
1106,자하문고개.윤동주문학관,126.9671282,37.59219358,서울 종로구 청운동 3-148,종로구,청운동
1107,자하문고개.윤동주문학관,126.9671677,37.59225741,서울 종로구 청운동 산 15,종로구,청운동
1108,청운중학교,126.9724615,37.58812866,서울 종로구 청운동 89-8,종로구,청운동
1109,경복고교,126.971148,37.58504593,서울 종로구 궁정동 6,종로구,궁정동
1110,통인시장종로구보건소,126.9711089,37.58033173,서울 종로구 창성동 183-2,종로구,창성동
1111,통인시장종로구보건소,126.971244,37.58048929,서울 종로구 창성동 163,종로구,창성동
1112,효자동,126.9705348,37.58308184,서울 종로구 효자동 8,종로구,효자동
1113,사직단.어린이도서관,126.9680206,37.57511252,서울 종로구 사직동 1-38,종로구,사직동
1114,사직동주민센터,126.9713179,37.57609006,서울 종로구 내자동 44,종로구,내자동
1115,경복궁역,126.9722922,37.57688877,서울 종로구 통의동 140-2,종로구,통의동
1116,경복궁역,126.9721844,37.57764064,서울 종로구 통의동 73-1,종로구,통의동
1117,경복궁,126.9787905,37.57577149,서울 종로구 중학동 96,종로구,중학동
1118,KT광화문지사,126.9772023,37.5724045,서울 종로구 세종로 1-68,종로구,세종로
1120,광화문,126.9764107,37.57003982,서울 종로구 세종로 1-81,종로구,세종로
1123,서울역사박물관.경교장.강북삼성병원,126.9713844,37.56993064,서울 종로구 신문로2가 1-2,종로구,신문로2가
1124,광화문.금호아시아나본관앞,126.9731311,37.57020901,서울 종로구 신문로1가 74-2,종로구,신문로1가
1125,광화문,126.9757675,37.57023908,서울 종로구 신문로1가 5-4,종로구,신문로1가
1126,세종문화회관,126.9767122,37.57266095,서울 종로구 세종로 1-68,종로구,세종로
1127,서울지방경찰청.경복궁역,126.9714955,37.57590104,서울 종로구 내자동 75-4,종로구,내자동
1128,사직단,126.9680705,37.57494659,서울 종로구 사직동 1-30,종로구,사직동
1129,광화문광화문빌딩,126.9768398,37.56969249,서울 종로구 세종로 1-80,종로구,세종로
1130,덕성여중고,126.9819731,37.57573943,서울 종로구 송현동 49-14,종로구,송현동
1131,안국역.종로경찰서.인사동,126.9840963,37.57597118,서울 종로구 안국동 175-92,종로구,안국동
1132,국민은행세검정지점,126.960969,37.604688,서울 종로구 신영동 240-2,종로구,신영동
1133,세검정초등학교,126.9612836,37.60248796,서울 종로구 신영동 124-1,종로구,신영동
1134,세검정.상명대,126.9587715,37.60066502,서울 종로구 홍지동 72-7,종로구,홍지동
1135,상명대입구.석파랑,126.958688,37.599605,서울 종로구 홍지동 99-7,종로구,홍지동
1136,하림각,126.9618276,37.598269,서울 종로구 부암동 134-2,종로구,부암동
1137,자하문터널입구.석파정,126.9637112,37.59558027,서울 종로구 부암동 162-4,종로구,부암동
1138,부암동주민센터.무계원,126.964027,37.592874,서울 종로구 부암동 278-1,종로구,부암동
1139,부암동주민센터.무계원,126.965131,37.59275754,서울 종로구 부암동 254-4,종로구,부암동
1140,자하문터널입구.석파정,126.9638097,37.59559179,서울 종로구 부암동 161-2,종로구,부암동
1141,하림각,126.9622117,37.59814363,서울 종로구 부암동 134-2,종로구,부암동
1142,상명대입구.세검정교회,126.9592186,37.59955974,서울 종로구 홍지동 99-7,종로구,홍지동
1143,세검정.상명대,126.958889,37.60061499,서울 종로구 홍지동 99-7,종로구,홍지동
1144,세검정초등학교,126.9613311,37.60229124,서울 종로구 신영동 124-1,종로구,신영동
1146,국민은행세검정지점,126.9611311,37.60470411,서울 종로구 신영동 20-1,종로구,신영동
1148,승가사입구,126.9563453,37.61158733,서울 종로구 구기동 146-2,종로구,구기동
1149,구기동현대빌라,126.9564726,37.61003593,서울 종로구 구기동 146-2,종로구,구기동
1150,구기터널.삼성출판박물관,126.956184,37.60854039,서울 종로구 구기동 120-1,종로구,구기동
1151,구기터널.삼성출판박물관,126.9564398,37.6083598,서울 종로구 구기동 110-22,종로구,구기동
1152,구기동,126.9585968,37.60704451,서울 종로구 구기동 120-1,종로구,구기동
1153,구기동,126.9590556,37.60695423,서울 종로구 구기동 88-20,종로구,구기동
1154,승가사입구,126.9564593,37.61143992,서울 종로구 구기동 146-2,종로구,구기동
1155,갑을씨티텔앞,126.9635571,37.60432366,서울 종로구 평창동 288-1,종로구,평창동
1156,평창파출소,126.9660716,37.6052849,서울 종로구 평창동 302-1,종로구,평창동
1157,평창동주민센터,126.9695658,37.60660852,서울 종로구 평창동 157-4,종로구,평창동
1158,일성아파트,126.9729382,37.60880117,서울 종로구 평창동 85-2,종로구,평창동
1159,롯데아파트,126.9764904,37.61039233,서울 종로구 평창동 66-137,종로구,평창동
1160,롯데아파트,126.9760875,37.61009411,서울 종로구 평창동 66-120,종로구,평창동
1161,벽산평창힐스아파트,126.9727677,37.60827711,서울 종로구 평창동 85-2,종로구,평창동
1162,예능교회,126.9700287,37.60662695,서울 종로구 평창동 157-4,종로구,평창동
1163,서울예술고등학교.평창동주민센터,126.9675555,37.60587045,서울 종로구 평창동 187-2,종로구,평창동
1164,화정박물관,126.964752,37.60459289,서울 종로구 평창동 288-1,종로구,평창동
1165,강북삼성병원,126.9687255,37.5680684,서울 종로구 평동 138,종로구,평동
