행정동,개수
가락동,61
가리봉동,7
가산동,105
가양1동,1
가양동,40
가회동,8
갈월동,9
갈현동,73
강일동,49
개봉동,88
개포동,78
개화동,9
거여동,26
견지동,5
경운동,5
계동,6
고덕동,40
고척동,69
공덕동,21
공릉동,107
공평동,2
공항동,42
과해동,2
관수동,1
관철동,5
관훈동,1
광장동,36
광희동2가,4
교남동,4
교북동,6
구기동,18
구로동,143
구산동,34
구수동,5
구의동,57
군자동,23
궁동,32
궁정동,1
권농동,1
금호동1가,37
금호동2가,21
금호동3가,23
금호동4가,24
길동,37
길음동,39
낙원동,1
남가좌동,40
남대문로1가,2
남대문로2가,5
남대문로3가,3
남대문로4가,2
남대문로5가,9
남산동1가,1
남산동2가,1
남영동,3
남창동,4
남현동,7
내곡동,27
내발산동,47
내자동,2
냉천동,8
노고산동,15
노량진동,39
녹번동,23
논현동,44
누상동,1
누하동,3
능동,8
답십리동,41
당산2동,1
당산동,12
당산동1가,4
당산동2가,8
당산동3가,6
당산동4가,5
당산동5가,19
당산동6가,5
당인동,1
대림동,66
대방동,46
대신동,11
대조동,26
대치동,64
대현동,13
대흥동,23
도곡동,44
도림동,24
도봉동,82
도선동,4
도원동,6
도화동,39
독산동,112
돈암동,47
동교동,15
동빙고동,6
동선동1가,2
동선동2가,6
동선동4가,2
동선동5가,1
동소문동1가,2
동소문동2가,3
동소문동3가,2
동소문동4가,2
동소문동5가,2
동소문동6가,2
동소문동7가,3
동숭동,2
동자동,6
동작동,12
둔촌1동,1
둔촌동,35
등촌동,73
마곡동,68
마장동,29
마천동,27
마포동,2
만리동1가,3
만리동2가,2
망우동,66
망원동,52
면목동,123
명륜1가,5
명륜2가,4
명륜3가,11
명륜4가,2
명일동,37
목동,83
묘동,1
무악동,5
무학동,1
묵동,51
묵정동,1
문래동1가,3
문래동2가,3
문래동3가,20
문래동4가,2
문래동5가,6
문래동6가,8
문배동,6
문정동,47
미근동,3
미아동,153
반포동,79
방배동,150
방산동,3
방이동,45
방학동,82
방화동,73
번동,98
보광동,10
보문동1가,4
보문동2가,1
보문동3가,1
보문동4가,1
보문동5가,1
보문동7가,2
본동,22
봉래동1가,4
봉래동2가,6
봉원동,2
봉천동,195
부암동,9
북가좌동,44
북아현동,27
불광동,61
사근동,20
사당동,82
사직동,10
산천동,2
삼각동,1
삼선동1가,5
삼선동2가,15
삼선동3가,5
삼선동4가,3
삼선동5가,5
삼성동,51
삼전동,12
삼청동,7
상계동,194
상도1동,16
상도동,127
상봉동,31
상수동,17
상암동,82
상왕십리동,4
상월곡동,12
상일동,52
서계동,8
서교동,57
서린동,1
서빙고동,11
서소문동,3
서초동,176
석관동,31
석촌동,18
성내동,56
성북동,35
성북동1가,7
성산동,60
성수동1가,46
성수동2가,50
세곡동,34
세종로,14
소공동,1
송월동,1
송정동,15
송파동,17
송현동,1
수색동,18
수서동,27
수유동,144
수표동,1
순화동,1
숭인동,16
시흥동,142
신계동,3
신공덕동,9
신길7동,1
신길동,145
신내동,69
신당동,43
신대방동,42
신도림동,39
신림동,266
신문로1가,4
신문로2가,3
신사동,74
신설동,10
신수동,24
신영동,6
신원동,24
신월동,81
신정동,158
신창동,4
신천동,22
신촌동,4
쌍림동,2
쌍문동,89
아현동,25
안국동,2
안암동1가,4
안암동2가,6
안암동4가,1
안암동5가,20
암사동,26
압구정동,11
양재1동,1
양재동,75
양평동1가,10
양평동2가,6
양평동3가,13
양평동4가,8
양평동5가,6
양평동6가,4
양화동,3
여의도동,49
역삼동,68
역촌동,51
연건동,16
연남동,22
연지동,1
연희동,57
염곡동,12
염리동,13
염창동,30
영등포동,13
영등포동1가,1
영등포동2가,4
영등포동3가,8
영등포동4가,8
영등포동5가,2
영등포동6가,3
영등포동7가,8
영등포동8가,6
영천동,7
예관동,1
예장동,3
예지동,3
오곡동,2
오금동,34
오류동,48
오쇠동,2
옥수동,40
옥인동,2
옥천동,1
온수동,16
와룡동,5
외발산동,22
용강동,9
용답동,13
용두동,27
용문동,11
용산동1가,3
용산동2가,26
용산동3가,1
용산동4가,4
용산동5가,3
용산동6가,4
우면동,38
우이동,17
운니동,2
원남동,3
원서동,3
원지동,7
원효로1가,10
원효로2가,5
원효로3가,4
원효로4가,8
월계동,104
율현동,13
을지로1가,3
을지로2가,3
을지로3가,3
을지로4가,4
을지로5가,2
을지로6가,7
을지로7가,1
응봉동,27
응암동,80
의주로1가,3
이문동,38
이촌동,21
이태원동,34
이화동,2
인사동,2
인의동,2
일원동,44
입정동,1
자곡동,17
자양동,54
잠실동,41
잠원동,35
장사동,1
장안동,53
장위동,98
장지동,49
장충동1가,2
장충동2가,9
재동,4
저동1가,3
전농동,45
정동,3
정릉3동,1
정릉동,129
제기동,29
종로1가,4
종로2가,5
종로3가,5
종로4가,5
종로5가,6
종로6가,3
종암동,54
주교동,2
중계동,75
중곡동,88
중동,7
중림동,8
중학동,1
중화동,42
증산동,13
진관동,68
창동,113
창성동,2
창신동,17
창전동,32
창천동,20
천연동,6
천왕동,31
천호동,55
청담동,22
청량리동,25
청암동,4
청운동,7
청파동1가,3
청파동2가,10
청파동3가,3
충무로1가,1
충무로2가,2
충무로3가,1
충무로4가,1
충무로5가,1
충신동,3
충정로1가,1
충정로2가,11
