"행정구","실거래가_mean"
"용산구",1392.87128712871
"서초구",1294.61271676301
"강남구",1273.71559633028
"영등포구",945.245762711864
"마포구",931.491525423729
"송파구",912.809290953545
"성동구",879.137931034483
"동대문구",818.333333333333
"동작구",786.153846153846
"광진구",769.689265536723
"중구",735.074074074074
"강동구",734.964601769911
"성북구",640.974358974359
"금천구",634.457317073171
"강서구",626.913636363636
"관악구",623.734299516908
"종로구",620.923913043478
"양천구",594.151408450704
"중랑구",586.475113122172
"은평구",583.43429844098
"서대문구",569.007633587786
"구로구",547.411214953271
"노원구",512.123711340206
"강북구",483.667910447761
"도봉구",456.911845730028
