"행정구","법정동","실거래가_mean"
"용산구","보광동",5008.5
"용산구","동빙고동",3495
"동작구","흑석동",2942
"마포구","염리동",2835.4
"강남구","세곡동",2670
"마포구","공덕동",2573
"용산구","원효로2가",2404
"강남구","일원동",2316
"강남구","삼성동",2239.5
"용산구","한강로2가",2037
"용산구","한강로1가",2004
"성동구","성수동1가",1856
"동대문구","이문동",1827
"용산구","서계동",1727
"은평구","수색동",1713
"용산구","원효로1가",1706.5
"마포구","노고산동",1652.5
"영등포구","당산동3가",1620
"용산구","효창동",1547.27272727273
"동작구","신대방동",1466.28571428571
"영등포구","양평동3가",1449
"영등포구","영등포동1가",1447
"용산구","원효로3가",1440
"마포구","아현동",1412
"서초구","방배동",1404.46987951807
"용산구","청파동1가",1388.25
"용산구","용문동",1382
"서대문구","충정로3가",1380
"강남구","자곡동",1363
"강남구","역삼동",1294.76
"서초구","서초동",1288.66666666667
"강남구","논현동",1287.61904761905
"강남구","대치동",1266.33333333333
"강동구","고덕동",1255.5
"서초구","반포동",1255.44
"영등포구","영등포동5가",1221
"송파구","잠실동",1214.31818181818
"마포구","대흥동",1212.8
"동대문구","청량리동",1209.66666666667
"성동구","금호동3가",1192
"마포구","상수동",1178
"영등포구","영등포동6가",1176
"용산구","신창동",1167
"광진구","화양동",1166
"영등포구","영등포동",1164
"영등포구","당산동1가",1130.69230769231
"송파구","마천동",1124.33333333333
"서초구","양재동",1099.74285714286
"강남구","청담동",1096
"동작구","본동",1066
"용산구","후암동",1065.94736842105
"성동구","성수동2가",1047.5
"용산구","한남동",1045.57142857143
"성동구","행당동",1039.85714285714
"동대문구","답십리동",1033
"종로구","이화동",1029.33333333333
"송파구","송파동",1025.48387096774
"용산구","이태원동",1021.5
"송파구","석촌동",1013.92857142857
"강남구","신사동",998.333333333333
"용산구","서빙고동",992
"용산구","산천동",988.666666666667
"송파구","거여동",981
"강남구","개포동",970.736842105263
"영등포구","대림동",934.771929824561
"구로구","항동",930
"성동구","옥수동",928.666666666667
"마포구","신공덕동",927
"동작구","대방동",922.705882352941
"송파구","가락동",917.269230769231
"서초구","잠원동",912
"서초구","우면동",907
"송파구","방이동",903.745454545455
"용산구","원효로4가",903.5
"광진구","자양동",894.509433962264
"강남구","도곡동",893.666666666667
"서대문구","천연동",893.5
"동작구","사당동",892.836734693878
"동대문구","용두동",877.307692307692
"용산구","청파동2가",875.666666666667
"영등포구","당산동6가",869
