호선,역명,구,동,역코드,위도,경도,주소
01호선,서울,중구,봉래동2가,150,37.554648,126.972559,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역)
01호선,시청,중구,정동,151,37.564718,126.977108,서울특별시 세종대로 지하 101 (정동) (1호선 시청역)
01호선,종각,종로구,종로1.2.3.5가동,152,37.570161,126.982923,서울특별시 종로구 종로 지하 55 (종로1가) (종각역)
01호선,종로3가,종로구,종로1.2.3.4가동,153,37.571607,126.991806,서울특별시 종로구 종로 지하 129 (종로3가) (1호선 종로3가역)
01호선,종로5가,종로구,종로5.6가동,154,37.570926,127.001849,서울특별시 종로구 종로 지하 216  (종로5가) (1호선 종로5가역)
01호선,동대문,종로구,창신동,155,37.57142,127.009745,서울특별시 종로구 종로 지하 302 (창신1동) (1호선 동대문역)
01호선,신설동,동대문구,신설동,156,37.575297,127.025087,서울특별시 동대문구 왕산로 지하 1 (신설동) (1호선 신설동역)
01호선,제기동,동대문구,제기동,157,37.578103,127.034893,서울특별시 동대문구 왕산로 지하 93 (제기동) (제기동역)
01호선,청량리,동대문구,전농동,158,37.580178,127.046835,서울특별시 동대문구 왕산로 지하 205 (전농동) (청량리역)
01호선,동묘앞,종로구,숭인동,159,37.572627,127.016429,서울특별시 종로구 종로 359 (숭인동) (1호선 동묘앞역)
01호선,남영,용산구,갈월동,1002,37.541021,126.9713,서울특별시 용산구 한강대로77길 25
01호선,용산,용산구,한강로동,1003,37.529849,126.964561,서울특별시 용산구 한강대로23길 55
01호선,노량진,동작구,노량진동,1004,37.514219,126.942454,서울특별시 동작구 노량진로 151
01호선,대방,영등포구,신길동,1005,37.513342,126.926382,서울특별시 영등포구 여의대방로 300
01호선,영등포,영등포구,영등포동,1006,37.515504,126.907628,서울특별시 영등포구 경인로 846
01호선,신도림,구로구,신도림동,1007,37.508725,126.891295,서울특별시 구로구 새마로 지하117-21
01호선,회기,동대문구,휘경동,1015,37.58946,127.057583,서울특별시 동대문구 회기로 196
01호선,외대앞,동대문구,이문동,1016,37.596073,127.063549,서울특별시 동대문구 휘경로 27
